Время;Работа;Расширенная информация;Ссылка;Компания;Город
" 4 дня назад
";Middle Python developer;" Required skills:Strong Python Skills (3+ years of experience)Knowledge of quality standards and best practicesExperience with processing large datasets...
";https://rabota.ua/company874857/vacancy7992218;BINTIME;Киев
" 4 дня назад
";Full-stack Python web developer;" Main requirements:1+ years of experienceStrong knowledge of PythonOOP, design patterns, Django (django rest) or FlaskStrong knowledge of Postgres or MySQLGITEnglish...
";https://rabota.ua/company5164992/vacancy7650844;reZet;Запорожье
" 4 дня назад
";Middle/Senior Python Engineer (FinTech);" Группа компаний, оперирующая в сфере e-commerce, транзакционного бизнеса и финансовых сервисов приглашает присоединиться в ряды своей команды Middle/Senior...
";https://rabota.ua/company6076366/vacancy7946881;4bill.io;Киев
" 4 дня назад
";Erlang Developer;" Вимоги:Впевнене розуміння Erlang OTPРозуміння HTTP / TCP / UDP / TLS / SSLРозуміння принципу сервіс-орієнтованої архітектуриДосвід роботи з GITДосвід роботи...
";https://rabota.ua/company203681/vacancy8000073;ПриватБанк;Днепр
" 4 дня назад
";Middle Python Developer;" Группа компаний, оперирующая в сфере e-commerce, транзакционного бизнеса и финансовых сервисов приглашает присоединиться в ряды своей команды Middle Python...
";https://rabota.ua/company6076366/vacancy7968775;4bill.io;Киев
" 4 дня назад
";Automation QA Engineer;" OnApp is the leading provider of cloud and CDN software for MSPs, telcos, hosting companies, and other large service providers. We help companies build...
";https://rabota.ua/company1032008/vacancy8013415;OnApp;Львов
" 4 дня назад
";Big Data Developer;" In 2015 ITrust launched Reveelium, a system expert in APT and weak signals detection through behavioural analysis.This behavioral analysis technology detects...
";https://rabota.ua/company9455303/vacancy8013252;ITrust;Другие страны
" 4 дня назад
";Python developer;" For several years ITrust has been offering the IKare solution - scanning and vulnerability management software program.IKare automates the detection of...
";https://rabota.ua/company9455303/vacancy8013232;ITrust;Другие страны
" 4 дня назад
";Middle Python developer;" По желанию можем перевезти с Рижский офис, сделаем ВНЖ. Тестового нет.Необходимые навыкиХорошее знание Python, PostgreSQL, MongoDB, Redis, JS;Кроме знания...
";https://rabota.ua/company9405698/vacancy8012971;TheWhyKingz;Киев
" 4 дня назад
";Data scientist;" Компания RONIS находится в поиске человека, который не боится больших данных, интересуется машинным обучением, искусственным интеллектом, распознаванием...
";https://rabota.ua/company791450/vacancy7991736;Ronis Business Tools;Харьков
" 4 дня назад
";Middle Python developer;" Задачиразработка приложений для рекомендательной системы, системы А\Б тестирования,интерпретация и мониторинг работы ML моделей,разработка прототипов решений....
";https://rabota.ua/company511842/vacancy7935149;EVA - линия магазинов;Днепр
" 4 дня назад
";Python developer;" <strong><span style=""color: #1cb564;"">Eastern Peak</span></strong> is looking for an experienced Python engineer to join the team.Join...
";https://rabota.ua/company1700681/vacancy7935068;Eastern Peak ;Харьков
" 4 дня назад
";Middle AQA Engineer;" Requirements:2 years of software testing experience, at least 1 year of QA Automation using Python.Solid knowledge of Python.Experience with Python test...
";https://rabota.ua/company4108505/vacancy8006306;Jabil Software Services;Харьков
" 4 дня назад
";Node.js Developer;" «TapOK» - продуктовая IT- компания c успешно работающей бизнес-моделью и атмосферой стартапа внутри.Работаем в направлениях: партнерский маркетинг, электронная...
";https://rabota.ua/company5172671/vacancy7978172;tapOk;Винница
" 4 дня назад
";Senior Data Scientist for Ciklum Digital;" On behalf of Data & Analytics, Ciklum is looking for a Senior Data Scientist to join the UA team on a full-time basis.You will join a highly motivated...
";https://rabota.ua/company209907/vacancy8012554;Ciklum;Львов
" 4 дня назад
";Junior BI Engineer | Data Engineer;" Обязанности: Поддержка и развитие собственного BI-продукта (сбор - хранение - обработка - визуализация данных). Требования: знание Python и SQL;опыт работы...
";https://rabota.ua/company1734838/vacancy7991276;NEOS, Digital Agency;Киев
" 4 дня назад
";Middle Python developer;" Мы финансовая компания, работающая на рынке более 10 лет. Сотрудничаем со всеми крупнейшими торговыми сетями Украины. Приглашаем тебя в свою команду!Что...
";https://rabota.ua/company1026285/vacancy7991186;Сучасний факторинг, ТОВ ;Киев
" 4 дня назад
";Economist (Game development);" WhaleApp - международная Game development компания, которая охватывает 7 студий в разных уголках мира. WhaleApp верит в многообразие людей и ищет пути...
";https://rabota.ua/company1699495/vacancy7625743;WhaleApp;Киев
" 5 дней назад
";Middle/Senior Analyst;" appflame is a young and fast-growing company. It launches and develops its products in social discovery / social network / dating niches. Our products...
";https://rabota.ua/company7819611/vacancy7812258;appflame;Киев
" 5 дней назад
";Senior Python Developer, Insurance Services;" Our client is a fast-growing US-based start-up founded by insurance industry veterans. Its product is built on the program administrator model, using technology...
";https://rabota.ua/company277662/vacancy8005792;DataArt;Львов
" 5 дней назад
";Golang Developer, Traffic Management Solutions;" The client is the market leader in the development of DNS server software for traffic management. The DNS system created by this company is connected via...
";https://rabota.ua/company277662/vacancy7998838;DataArt;Львов
" 5 дней назад
";Python Developer, инженер-программист;" Компания «Авангард», входящая в ГК «Карбон» - лидер в своем сегменте рынка, в связи с стремительным развитием приглашает в свою команду инженера-программиста...
";https://rabota.ua/company646569/vacancy7977651;КАРБОН ИНВЕСТ;Киев
